XOM,Daily,11/18/2024 12:00:00 AM,HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,HmaEmaPriceStrategy,0,Long,Open
RY.TO,Daily,11/18/2024 12:00:00 AM,Price 171.6 (2024-11-18T00:00:00) > 170.061275 (166.99 - 169.56),SwingPointsLiveTradingStrategy,0,Long,Open
GME,Daily,11/18/2024 12:00:00 AM,GME|2024-11-29|30.00C: Open Interest: 9076 (25.08%) | Trade time: 2024-11-18 15:59:54 (EST),,0,Long,Open
RIVN,Daily,11/18/2024 12:00:00 AM,RIVN|2025-09-19|7.50P: Open Interest: 6939 (28.74%) | Trade time: 2024-11-18 12:29:05 (EST),,0,Short,Open
TSLA,Daily,11/18/2024 12:00:00 AM,TSLA|2024-12-20|350.00C: Open Interest: 25211 (44.43%) | Trade time: 2024-11-18 15:59:53 (EST),,0,Long,Open
PLTR,Daily,11/18/2024 12:00:00 AM,PLTR|2024-12-20|55.00P: Open Interest: 15442 (68.93%) | Trade time: 2024-11-18 15:58:53 (EST),,0,Short,Open
SQ,Daily,11/18/2024 12:00:00 AM,SQ|2024-12-20|100.00C: Open Interest: 12272 (26.92%) | Trade time: 2024-11-18 15:59:59 (EST),,0,Long,Open
IOVA,Daily,11/18/2024 12:00:00 AM,IOVA|2024-12-20|9.00C: Open Interest: 7715 (30.34%) | Trade time: 2024-11-18 15:38:04 (EST),,0,Long,Open
WMT,Daily,11/18/2024 12:00:00 AM,WMT|2024-12-20|85.00C: Open Interest: 7921 (27.86%) | Trade time: 2024-11-18 15:59:45 (EST),,0,Long,Open
GILD,Daily,11/18/2024 12:00:00 AM,GILD|2024-12-20|95.00C: Open Interest: 10634 (72.57%) | Trade time: 2024-11-18 15:56:00 (EST),,0,Long,Open
GOOGL,Daily,11/18/2024 12:00:00 AM,GOOGL|2024-12-20|175.00C: Open Interest: 9287 (21.75%) | Trade time: 2024-11-18 15:59:47 (EST),,0,Long,Open
KO,Daily,11/18/2024 12:00:00 AM,KO|2024-12-20|65.00C: Open Interest: 16035 (30.72%) | Trade time: 2024-11-18 15:59:55 (EST),,0,Long,Open
CMCSA,Daily,11/18/2024 12:00:00 AM,CMCSA|2025-01-17|42.50P: Open Interest: 14883 (34.12%) | Trade time: 2024-11-18 15:51:55 (EST),,0,Short,Open
SMCI,Daily,11/18/2024 12:00:00 AM,SMCI|2025-01-17|18.00P: Open Interest: 15185 (28.76%) | Trade time: 2024-11-18 15:59:37 (EST),,0,Short,Open
WULF,Daily,11/18/2024 12:00:00 AM,WULF|2024-12-20|12.00C: Open Interest: 8432 (39.88%) | Trade time: 2024-11-18 15:34:10 (EST),,0,Long,Open
NVO,Daily,11/18/2024 12:00:00 AM,NVO|2024-12-20|110.00C: Open Interest: 8047 (30.34%) | Trade time: 2024-11-18 15:53:30 (EST),,0,Long,Open
